plant_type,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,plant_age_weeks,last_watered_days,temperature,humidity,rainfall,season,watering_status,plant_name_Aloe Vera,plant_name_Basil,plant_name_Cactus,plant_name_Mint,plant_name_Money Plant,plant_name_Peace Lily,plant_name_Rose,plant_name_Snake Plant,plant_name_Spider Plant,plant_name_Tomato,soil_type_Clayey,soil_type_Loamy,soil_type_Sandy,sunlight_exposure_Full Sun,sunlight_exposure_Indirect Light,sunlight_exposure_Low Light,sunlight_exposure_Partial Sun,pot_or_ground_Ground,pot_or_ground_Pot
Outdoor,-1.0397987376498028,-1.2376549296260777,-1.175952449945861,-1.1227316232243636,68,6,-0.6788046758510408,0.5854571948497845,-0.3092752669729089,Autumn,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,1.3290807236268858,0.5484547436845981,0.29825555671627674,-0.027882166172910342,77,3,-0.031693403257710445,0.6976352356334182,-1.4905227237728684,Winter,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Indoor,0.6323514703102125,1.3224356021192243,-0.3224636039835707,0.7020174718613919,53,1,0.389681378896086,-0.25587811102746855,0.7132971583166084,Spring,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Outdoor,-1.4578362896398063,-1.8330248207296362,-2.029441295908151,-1.633661369848375,13,5,-0.0918898007082531,0.1928340521070664,0.7132971583166084,Winter,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Outdoor,1.3290807236268858,-0.22552611475002798,0.37584545180375767,0.9939773270751125,89,5,1.232430943203679,-1.4898365596474399,-0.7147781252773725,Monsoon,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
Outdoor,-1.4578362896398063,1.2628986130088684,0.9965646125036051,1.212947218485403,60,5,1.307676440016857,1.20243641915977,-0.027186322065455917,Monsoon,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Outdoor,-0.6217611856597993,-0.8208960058535866,-1.4087221352083037,-1.4146914784380844,72,0,1.5334129304563906,-1.4898365596474399,-1.5610449599997316,Summer,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
Indoor,-1.1791445883131368,0.7866027001260216,-0.6328231843334945,0.19108772523738027,7,2,-0.377822688598329,-0.3119671314192854,-0.485580857540067,Monsoon,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
Indoor,-0.3430694843331298,0.3103067872431748,1.229334297766048,0.2640776890408105,19,4,1.5484620298190255,1.2585254395515868,0.2725331818987131,Spring,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
Outdoor,0.07496806765687374,-0.2850631038603838,1.229334297766048,-0.4658219489934916,7,1,-1.4914560414333622,-1.6581036208228905,0.008074796047975896,Winter,0,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
Outdoor,-0.7611070363231334,-1.5353398751778569,-1.5639019253832656,-1.1957215870277937,97,3,-0.3025771917851511,-0.8167683149456373,-1.455261605659437,Monsoon,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
Indoor,-0.2037236336697957,0.607991732794954,0.29825555671627674,0.4100576166476709,64,1,-0.27247899305988005,1.3707034803352207,-0.9792365111281097,Autumn,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
